name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondacherry,01-01-00,89.7,73.7,81.3,65.2,0,,,6.9,354.8,1010,10,,2000-01-01T06:39:21,2000-01-01T18:13:16,Clear,clear-day
choondacherry,02-01-00,88.1,71.3,80.1,67.1,0,,,9.2,317.9,1010.7,34,,2000-01-02T06:39:46,2000-01-02T18:13:48,Partially cloudy,partly-cloudy-day
choondacherry,03-01-00,86.6,73.5,80.8,73.9,0,,,9.2,293.2,1009.1,25,,2000-01-03T06:40:10,2000-01-03T18:14:20,Partially cloudy,partly-cloudy-day
choondacherry,04-01-00,88.1,77.1,83.3,69.1,0,,,11.4,283.4,1008.9,33.3,,2000-01-04T06:40:33,2000-01-04T18:14:52,Partially cloudy,partly-cloudy-day
choondacherry,05-01-00,87.9,75.5,82.5,70.6,0,,,11.4,305.8,1008.9,17.1,,2000-01-05T06:40:55,2000-01-05T18:15:25,Clear,clear-day
choondacherry,06-01-00,87.9,75.5,82.4,74.9,0,,,9.2,290,1009.6,28,,2000-01-06T06:41:17,2000-01-06T18:15:57,Partially cloudy,partly-cloudy-day
choondacherry,07-01-00,89.7,75.8,83.5,69.5,0.264,rain,,6.9,11.5,1008.9,55.7,,2000-01-07T06:41:38,2000-01-07T18:16:29,"Rain, Partially cloudy",rain
choondacherry,08-01-00,86.6,75.8,81.9,73.2,0.236,rain,,9.2,70,1009.1,64,,2000-01-08T06:41:58,2000-01-08T18:17:01,"Rain, Partially cloudy",rain
choondacherry,09-01-00,86.3,78.5,81.5,74,0,,,9.2,258.6,1008.7,68,,2000-01-09T06:42:17,2000-01-09T18:17:32,Partially cloudy,partly-cloudy-day
choondacherry,10-01-00,89.7,77.3,83.4,72.3,0,,,6.9,260,1008.8,62.9,,2000-01-10T06:42:36,2000-01-10T18:18:04,Partially cloudy,partly-cloudy-day
choondacherry,11-01-00,89.7,77.3,82.4,74.3,0,,,9.2,71.7,1009.5,54,,2000-01-11T06:42:53,2000-01-11T18:18:35,Partially cloudy,partly-cloudy-day
choondacherry,12-01-00,90.2,80.7,85.4,62.2,0.012,rain,,6.9,235,1010.3,43.3,,2000-01-12T06:43:10,2000-01-12T18:19:06,"Rain, Partially cloudy",rain
choondacherry,13-01-00,84.3,75.3,80.7,81.1,0.721,rain,,9.2,274.2,1010,57.1,,2000-01-13T06:43:26,2000-01-13T18:19:37,"Rain, Partially cloudy",rain
choondacherry,14-01-00,86.3,78.2,81.7,83.5,0,,,9.2,215,1010.2,66.7,,2000-01-14T06:43:41,2000-01-14T18:20:08,Partially cloudy,partly-cloudy-day
choondacherry,15-01-00,88.4,77.1,82.3,80.1,0,,,11.4,300.2,1009.4,45.7,,2000-01-15T06:43:54,2000-01-15T18:20:38,Partially cloudy,partly-cloudy-day
choondacherry,16-01-00,87.9,78.2,83,78.2,0,,,9.2,275.4,1009.4,33.3,,2000-01-16T06:44:07,2000-01-16T18:21:08,Partially cloudy,partly-cloudy-day
choondacherry,17-01-00,86.3,78.9,82.4,76.9,0.056,rain,,9.2,290,1011.4,62,,2000-01-17T06:44:20,2000-01-17T18:21:37,"Rain, Partially cloudy",rain
choondacherry,18-01-00,89,78.2,83.7,64.9,0,,,11.4,291.8,1012.7,21.7,,2000-01-18T06:44:31,2000-01-18T18:22:06,Partially cloudy,partly-cloudy-day
choondacherry,19-01-00,90.8,76.4,83.9,61.7,0,,,6.9,280,1011.7,1.7,,2000-01-19T06:44:41,2000-01-19T18:22:35,Clear,clear-day
choondacherry,20-01-00,88.1,72.2,81.4,70.1,0,,,9.2,278,1011.1,10,,2000-01-20T06:44:50,2000-01-20T18:23:03,Clear,clear-day
choondacherry,21-01-00,85.4,75.5,81.1,79,0,,,11.4,268.3,1012.4,11.4,,2000-01-21T06:44:58,2000-01-21T18:23:30,Clear,clear-day
choondacherry,22-01-00,85.4,77.1,82.4,75.2,0,,,9.2,283,1012.8,28,,2000-01-22T06:45:05,2000-01-22T18:23:58,Partially cloudy,partly-cloudy-day
choondacherry,23-01-00,86.1,75.5,81.6,76.6,0,,,9.2,250,1012.3,30,,2000-01-23T06:45:11,2000-01-23T18:24:24,Partially cloudy,partly-cloudy-day
choondacherry,24-01-00,86.1,75.5,79.5,82,0,,,9.2,296.1,1013.2,36,,2000-01-24T06:45:16,2000-01-24T18:24:50,Partially cloudy,partly-cloudy-day
choondacherry,25-01-00,87.5,78.2,83.1,69.7,0,,,11.4,302.6,1012.6,31.7,,2000-01-25T06:45:20,2000-01-25T18:25:16,Partially cloudy,partly-cloudy-day
choondacherry,26-01-00,89.3,77.1,83.7,59.3,0,,,9.2,181.4,1012.8,26.7,,2000-01-26T06:45:23,2000-01-26T18:25:41,Partially cloudy,partly-cloudy-day
choondacherry,27-01-00,87.5,71.7,80,62.5,0,,,9.2,313.5,1012,18.3,,2000-01-27T06:45:25,2000-01-27T18:26:05,Clear,clear-day
choondacherry,28-01-00,87.5,72.2,79,74.1,0,,,11.4,270,1011.2,20,,2000-01-28T06:45:26,2000-01-28T18:26:29,Clear,clear-day
choondacherry,29-01-00,87.5,75.5,82.6,70.5,0,,,6.9,270,1012.2,26.7,,2000-01-29T06:45:26,2000-01-29T18:26:53,Partially cloudy,partly-cloudy-day
choondacherry,30-01-00,86.1,75.8,81.1,75.3,0,,,9.2,270,1012.3,10,,2000-01-30T06:45:25,2000-01-30T18:27:15,Clear,clear-day
choondacherry,31-01-00,89.9,75.5,82,67.4,0,,,9.2,294.6,1013,22.9,,2000-01-31T06:45:23,2000-01-31T18:27:37,Partially cloudy,partly-cloudy-day
choondacherry,01-02-00,86.1,73.7,80.8,69.2,0,,,9.2,250,1011.5,8.6,,2000-02-01T06:45:19,2000-02-01T18:27:59,Clear,clear-day
choondacherry,02-02-00,85.4,74,79.2,71.9,0,,,6.9,295,1012,45,,2000-02-02T06:45:15,2000-02-02T18:28:19,Partially cloudy,partly-cloudy-day
choondacherry,03-02-00,89.9,74.9,81.7,74.2,0,,,11.4,319.1,1011.4,52.5,,2000-02-03T06:45:10,2000-02-03T18:28:40,Partially cloudy,partly-cloudy-day
choondacherry,04-02-00,87.9,75.8,80.7,82.8,0,,,9.2,272.5,1012,85,,2000-02-04T06:45:04,2000-02-04T18:28:59,Partially cloudy,partly-cloudy-day
choondacherry,05-02-00,86.1,75.3,80.5,87.1,2.598,rain,,6.9,290,1010.7,72.5,,2000-02-05T06:44:57,2000-02-05T18:29:18,"Rain, Partially cloudy",rain
choondacherry,06-02-00,86.1,79.4,81.8,82.2,0,,,9.2,266.9,1011.1,76.7,,2000-02-06T06:44:48,2000-02-06T18:29:36,Partially cloudy,partly-cloudy-day
choondacherry,07-02-00,86.3,77.6,82,79.2,0,,,9.2,332.3,1010.9,60,,2000-02-07T06:44:39,2000-02-07T18:29:54,Partially cloudy,partly-cloudy-day
choondacherry,08-02-00,84.5,77.3,81.2,75.6,0,,,11.4,326.7,1009.9,35.7,,2000-02-08T06:44:29,2000-02-08T18:30:10,Partially cloudy,partly-cloudy-day
choondacherry,09-02-00,86.3,75.3,81.1,74.1,0,,,9.2,341.1,1010.6,35.7,,2000-02-09T06:44:18,2000-02-09T18:30:27,Partially cloudy,partly-cloudy-day
choondacherry,10-02-00,86.6,78.9,82.1,75.6,0,,,9.2,351.7,1011.3,57.5,,2000-02-10T06:44:06,2000-02-10T18:30:42,Partially cloudy,partly-cloudy-day
choondacherry,11-02-00,86.6,79.4,82.7,75.4,0,,,13.9,325.8,1011.4,67.1,,2000-02-11T06:43:53,2000-02-11T18:30:57,Partially cloudy,partly-cloudy-day
choondacherry,12-02-00,84.8,77.6,81.3,77.5,0.02,rain,,9.2,312.4,1010.7,67.1,,2000-02-12T06:43:39,2000-02-12T18:31:11,"Rain, Partially cloudy",rain
choondacherry,13-02-00,86.3,74.9,81.9,75.9,0,,,11.4,284.7,1009.3,51.4,,2000-02-13T06:43:25,2000-02-13T18:31:25,Partially cloudy,partly-cloudy-day
choondacherry,14-02-00,87.9,75.3,81,73.7,0,,,9.2,291.5,1009.4,27.5,,2000-02-14T06:43:09,2000-02-14T18:31:38,Partially cloudy,partly-cloudy-day
choondacherry,15-02-00,89,75.3,80.2,75.8,0,,,11.4,53.5,1010.3,30,,2000-02-15T06:42:52,2000-02-15T18:31:50,Partially cloudy,partly-cloudy-day
choondacherry,16-02-00,87.9,80.7,83.7,73.8,0,,,9.2,291.2,1010.9,30,,2000-02-16T06:42:35,2000-02-16T18:32:02,Partially cloudy,partly-cloudy-day
choondacherry,17-02-00,89.7,77.1,82.6,77.3,0,,,11.4,267.5,1009.4,42.5,,2000-02-17T06:42:17,2000-02-17T18:32:13,Partially cloudy,partly-cloudy-day
choondacherry,18-02-00,89.7,77.6,82.5,78,0,,,11.4,297.4,1009.5,37.5,,2000-02-18T06:41:58,2000-02-18T18:32:24,Partially cloudy,partly-cloudy-day
choondacherry,19-02-00,86.6,77.3,81.9,78.4,0,,,11.4,307.1,1009.7,32.5,,2000-02-19T06:41:38,2000-02-19T18:32:34,Partially cloudy,partly-cloudy-day
choondacherry,20-02-00,86.1,75.3,81.2,76,0,,,9.2,299.4,1009.5,45,,2000-02-20T06:41:17,2000-02-20T18:32:43,Partially cloudy,partly-cloudy-day
choondacherry,21-02-00,86.1,77.1,81.4,72.1,0,,,11.4,336.9,1009.6,62.5,,2000-02-21T06:40:56,2000-02-21T18:32:52,Partially cloudy,partly-cloudy-day
choondacherry,22-02-00,86.6,77.1,81.9,71.3,0,,,11.4,319.6,1009.8,62.9,,2000-02-22T06:40:34,2000-02-22T18:33:00,Partially cloudy,partly-cloudy-day
choondacherry,23-02-00,87.5,77.1,82.3,71,0,,,13.9,303,1009.7,65,,2000-02-23T06:40:11,2000-02-23T18:33:07,Partially cloudy,partly-cloudy-day
choondacherry,24-02-00,86.1,77.6,81.8,77.6,0.139,rain,,11.4,306.2,1010.7,85,,2000-02-24T06:39:47,2000-02-24T18:33:14,"Rain, Partially cloudy",rain
choondacherry,25-02-00,84.3,72.8,79.4,84.3,0.293,rain,,9.2,351.8,1010.4,71.4,,2000-02-25T06:39:23,2000-02-25T18:33:21,"Rain, Partially cloudy",rain
choondacherry,26-02-00,86.1,75.5,81.4,78.6,0.117,rain,,13.9,325.7,1008.5,42.5,,2000-02-26T06:38:58,2000-02-26T18:33:27,"Rain, Partially cloudy",rain
choondacherry,27-02-00,81.8,72.6,77.3,91.4,3.346,rain,,6.9,332.6,1008.7,88.6,,2000-02-27T06:38:32,2000-02-27T18:33:32,"Rain, Partially cloudy",rain
choondacherry,28-02-00,86.3,77.1,81,85.5,2.598,rain,,6.9,276.9,1009.9,74.3,,2000-02-28T06:38:06,2000-02-28T18:33:37,"Rain, Partially cloudy",rain
choondacherry,29-02-00,88.1,75.8,82.8,77.3,2.598,rain,,6.9,259.1,1009.4,41.4,,2000-02-29T06:37:39,2000-02-29T18:33:42,"Rain, Partially cloudy",rain
choondacherry,01-03-00,89.9,75.8,84.3,63.2,0,,,6.9,325.4,1009.4,34,,2000-03-01T06:37:12,2000-03-01T18:33:46,Partially cloudy,partly-cloudy-day
choondacherry,02-03-00,88.4,78.2,84.5,67.8,0,,,9.2,307.2,1010.8,25,,2000-03-02T06:36:44,2000-03-02T18:33:50,Partially cloudy,partly-cloudy-day
choondacherry,03-03-00,87.9,77.1,82,76.8,0,,,11.4,261.1,1010.3,32,,2000-03-03T06:36:16,2000-03-03T18:33:53,Partially cloudy,partly-cloudy-day
choondacherry,04-03-00,88.1,75.8,82.8,76.9,0,,,9.2,281.5,1010.7,44.3,,2000-03-04T06:35:47,2000-03-04T18:33:56,Partially cloudy,partly-cloudy-day
choondacherry,05-03-00,87.9,78.2,82.6,78.6,0,,,11.4,295.1,1009.6,45,,2000-03-05T06:35:17,2000-03-05T18:33:58,Partially cloudy,partly-cloudy-day
choondacherry,06-03-00,86.3,77.1,82.3,76.2,0,,,9.2,308.2,1010.5,46.3,,2000-03-06T06:34:47,2000-03-06T18:34:00,Partially cloudy,partly-cloudy-day
choondacherry,07-03-00,86.6,78.5,82.4,77.6,0,,,13.9,323.3,1010.6,38.8,,2000-03-07T06:34:17,2000-03-07T18:34:02,Partially cloudy,partly-cloudy-day
choondacherry,08-03-00,88.1,78.9,83.9,76.4,0,,,11.4,328.8,1009.6,30,,2000-03-08T06:33:46,2000-03-08T18:34:03,Partially cloudy,partly-cloudy-day
choondacherry,09-03-00,87.9,80.7,83.6,76.9,0,,,11.4,344.6,1009.5,46.3,,2000-03-09T06:33:15,2000-03-09T18:34:04,Partially cloudy,partly-cloudy-day
choondacherry,10-03-00,88.4,80.3,84,75.3,0,,,24.2,350.9,1010,28.6,,2000-03-10T06:32:43,2000-03-10T18:34:04,Partially cloudy,partly-cloudy-day
choondacherry,11-03-00,88.1,78.9,84.3,74.8,0,,,11.4,291.4,1010.1,28.3,,2000-03-11T06:32:11,2000-03-11T18:34:05,Partially cloudy,partly-cloudy-day
choondacherry,12-03-00,88.4,80.3,84.1,75.9,0,,,11.4,295.2,1010.3,44,,2000-03-12T06:31:39,2000-03-12T18:34:05,Partially cloudy,partly-cloudy-day
choondacherry,13-03-00,88.1,77.1,82,78.9,0.02,rain,,11.4,345.4,1009.8,37.1,,2000-03-13T06:31:07,2000-03-13T18:34:05,"Rain, Partially cloudy",rain
choondacherry,14-03-00,88.1,78.2,83.8,77.9,0,,,12.8,293.8,1009.7,28.6,,2000-03-14T06:30:34,2000-03-14T18:34:04,Partially cloudy,partly-cloudy-day
choondacherry,15-03-00,89.7,78.9,83.1,79,0,,,11.4,315.2,1010.7,55.7,,2000-03-15T06:30:01,2000-03-15T18:34:04,Partially cloudy,partly-cloudy-day
choondacherry,16-03-00,87.2,76.7,82.3,77.6,0,,,11.4,323.9,1009.7,47.1,,2000-03-16T06:29:27,2000-03-16T18:34:03,Partially cloudy,partly-cloudy-day
choondacherry,17-03-00,88.1,78.9,83.4,75.8,0,,,13.9,308.2,1008.8,44.3,,2000-03-17T06:28:54,2000-03-17T18:34:02,Partially cloudy,partly-cloudy-day
choondacherry,18-03-00,87.9,77.3,82.5,79.8,0,,,11.4,301.2,1009.2,35.7,,2000-03-18T06:28:20,2000-03-18T18:34:00,Partially cloudy,partly-cloudy-day
choondacherry,19-03-00,88.4,78.9,83.7,76.3,0,,,13.9,316.7,1010.2,34.3,,2000-03-19T06:27:46,2000-03-19T18:33:59,Partially cloudy,partly-cloudy-day
choondacherry,20-03-00,88.1,78.5,83.1,77.4,0,,,9.2,300.1,1008.8,31.4,,2000-03-20T06:27:12,2000-03-20T18:33:58,Partially cloudy,partly-cloudy-day
choondacherry,21-03-00,88.1,78.5,83.7,78.2,0,,,11.4,291.8,1009.4,28.6,,2000-03-21T06:26:38,2000-03-21T18:33:56,Partially cloudy,partly-cloudy-day
