name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondcherry,2020-01-01 00:00:00,33.7,23.9,28.1,75.4,0.016,rain,15.0,9.2,269.3,1012.7,37.4,7,2020-01-01 06:39:23,2020-01-01 18:13:19,"Rain, Partially cloudy",rain
choondcherry,2020-01-02 00:00:00,33.9,24.9,28.6,77.0,0.028,rain,15.4,12.8,274.0,1013.8,29.7,7,2020-01-02 06:39:48,2020-01-02 18:13:51,"Rain, Partially cloudy",rain
choondcherry,2020-01-03 00:00:00,33.9,24.9,28.7,75.6,0.0,,16.1,11.4,272.0,1012.8,18.9,8,2020-01-03 06:40:11,2020-01-03 18:14:23,Clear,clear-day
choondcherry,2020-01-04 00:00:00,33.9,25.9,29.0,77.2,0.056,rain,17.2,12.8,291.8,1011.6,34.8,7,2020-01-04 06:40:34,2020-01-04 18:14:55,"Rain, Partially cloudy",rain
choondcherry,2020-01-05 00:00:00,33.9,23.7,28.4,74.3,0.072,rain,10.5,13.9,281.1,1011.0,44.4,8,2020-01-05 06:40:57,2020-01-05 18:15:28,"Rain, Partially cloudy",rain
choondcherry,2020-01-06 00:00:00,34.9,24.9,29.0,72.3,0.004,rain,12.8,6.9,73.6,1011.8,21.7,8,2020-01-06 06:41:18,2020-01-06 18:16:00,"Rain, Partially cloudy",rain
choondcherry,2020-01-07 00:00:00,34.9,23.9,28.9,71.4,0.0,,11.2,6.9,55.4,1011.7,28.6,8,2020-01-07 06:41:39,2020-01-07 18:16:32,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-08 00:00:00,34.9,22.9,28.2,70.5,0.0,,17.7,9.2,84.3,1011.9,24.9,8,2020-01-08 06:41:59,2020-01-08 18:17:04,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-09 00:00:00,34.9,22.9,28.1,71.1,0.004,rain,18.6,10.3,55.1,1011.8,27.2,8,2020-01-09 06:42:18,2020-01-09 18:17:35,"Rain, Partially cloudy",rain
choondcherry,2020-01-10 00:00:00,33.9,22.9,27.7,71.1,0.0,,15.2,11.4,176.0,1011.6,21.6,8,2020-01-10 06:42:37,2020-01-10 18:18:07,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-11 00:00:00,32.9,20.9,27.2,63.5,0.0,,12.1,10.3,68.1,1012.1,32.8,9,2020-01-11 06:42:54,2020-01-11 18:18:38,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-12 00:00:00,33.9,19.9,26.4,64.0,0.0,,18.6,11.4,70.9,1011.7,5.9,9,2020-01-12 06:43:11,2020-01-12 18:19:09,Clear,clear-day
choondcherry,2020-01-13 00:00:00,33.9,19.9,26.3,67.6,0.0,,17.9,11.4,272.9,1011.4,34.6,9,2020-01-13 06:43:26,2020-01-13 18:19:40,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-14 00:00:00,33.9,22.9,27.3,72.2,0.0,,19.0,11.4,273.6,1011.0,43.3,9,2020-01-14 06:43:41,2020-01-14 18:20:11,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-15 00:00:00,32.9,22.9,27.2,68.4,0.012,rain,18.1,11.4,87.0,1011.2,41.3,8,2020-01-15 06:43:55,2020-01-15 18:20:41,"Rain, Partially cloudy",rain
choondcherry,2020-01-16 00:00:00,32.9,22.9,27.3,68.6,0.044,rain,21.0,11.4,162.1,1011.4,44.6,8,2020-01-16 06:44:08,2020-01-16 18:21:10,"Rain, Partially cloudy",rain
choondcherry,2020-01-17 00:00:00,33.9,22.9,27.8,69.0,0.008,rain,15.7,12.8,272.3,1011.4,30.7,9,2020-01-17 06:44:20,2020-01-17 18:21:40,"Rain, Partially cloudy",rain
choondcherry,2020-01-18 00:00:00,33.2,22.9,28.2,72.1,0.0,,12.1,6.9,67.9,1010.8,41.1,8,2020-01-18 06:44:31,2020-01-18 18:22:09,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-19 00:00:00,34.1,23.9,29.4,70.4,0.827,rain,13.9,10.3,21.0,1011.4,44.7,8,2020-01-19 06:44:40,2020-01-19 18:22:37,"Rain, Partially cloudy",rain
choondcherry,2020-01-20 00:00:00,34.9,24.9,28.9,70.2,0.394,rain,10.5,8.1,253.1,1012.3,34.9,8,2020-01-20 06:44:49,2020-01-20 18:23:05,"Rain, Partially cloudy",rain
choondcherry,2020-01-21 00:00:00,35.9,23.9,29.1,66.6,0.0,,10.3,9.2,11.0,1012.5,21.7,9,2020-01-21 06:44:57,2020-01-21 18:23:33,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-22 00:00:00,34.9,22.9,28.6,63.7,0.0,,15.0,10.3,120.0,1012.3,16.0,9,2020-01-22 06:45:04,2020-01-22 18:24:00,Clear,clear-day
choondcherry,2020-01-23 00:00:00,34.9,23.9,29.2,65.3,0.0,,17.2,11.4,58.9,1011.0,22.6,9,2020-01-23 06:45:10,2020-01-23 18:24:27,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-24 00:00:00,35.9,23.9,28.9,66.7,0.0,,10.7,6.3,87.9,1011.4,16.9,9,2020-01-24 06:45:15,2020-01-24 18:24:53,Clear,clear-day
choondcherry,2020-01-25 00:00:00,34.9,21.9,28.1,66.6,0.0,,17.4,10.3,261.9,1012.3,22.8,9,2020-01-25 06:45:19,2020-01-25 18:25:18,Partially cloudy,partly-cloudy-day
choondcherry,2020-01-26 00:00:00,33.9,20.9,27.2,70.9,0.0,,21.0,11.4,251.7,1012.1,51.4,9,2020-01-26 06:45:22,2020-01-26 18:25:43,Partially cloudy,partly-cloudy-day
