name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondcherry,01-01-2018,89.8,71.5,79.9,70.3,0.004,rain,11.9,9.2,270.5,1009.9,40.9,8,2018-01-01T06:39:34,2018-01-01T18:13:34,"Rain, Partially cloudy",rain
choondcherry,02-01-2018,89.5,71.5,80,69.2,0,,12.5,11.4,261.1,1009.5,37.2,8,2018-01-02T06:39:58,2018-01-02T18:14:06,Partially cloudy,partly-cloudy-day
choondcherry,03-01-2018,90.3,71.5,80.4,74.2,0,,14.1,11.7,259.9,1010.7,31.3,7,2018-01-03T06:40:22,2018-01-03T18:14:38,Partially cloudy,partly-cloudy-day
choondcherry,04-01-2018,91.3,71.5,80.3,71.8,0.008,rain,16.1,10.3,280.9,1011.2,24,8,2018-01-04T06:40:44,2018-01-04T18:15:10,"Rain, Partially cloudy",rain
choondcherry,05-01-2018,89.5,73.3,80.3,72.7,0.036,rain,17.4,11.4,240.5,1010.6,31.8,8,2018-01-05T06:41:06,2018-01-05T18:15:43,"Rain, Partially cloudy",rain
choondcherry,06-01-2018,89.5,71.5,79.5,70.9,0.103,rain,18.1,10.9,269.2,1010.3,34.1,8,2018-01-06T06:41:28,2018-01-06T18:16:15,"Rain, Partially cloudy",rain
choondcherry,07-01-2018,88.6,70.2,79.1,70.6,0.008,rain,15.2,20.5,289.8,1010.8,39.3,7,2018-01-07T06:41:48,2018-01-07T18:16:47,"Rain, Partially cloudy",rain
choondcherry,08-01-2018,89.5,71.5,79.3,68.7,0.012,rain,16.3,9.3,320.3,1011.1,25.1,8,2018-01-08T06:42:08,2018-01-08T18:17:18,"Rain, Partially cloudy",rain
choondcherry,09-01-2018,89.5,67.9,79.3,67,0,,20.6,9.2,214.2,1012.3,28.2,9,2018-01-09T06:42:26,2018-01-09T18:17:50,Partially cloudy,partly-cloudy-day
choondcherry,10-01-2018,91.3,74.9,81.8,68,0.032,rain,14.1,9.2,64.3,1012.4,42.3,8,2018-01-10T06:42:44,2018-01-10T18:18:21,"Rain, Partially cloudy",rain
