name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondcherry,01-01-2016,91.3,67.9,80.2,64.8,0,,12.3,11.4,84,1014,54.3,9,2016-01-01T06:39:22,2016-01-01T18:13:17,Partially cloudy,partly-cloudy-day
choondcherry,02-01-2016,91.3,70.9,80.7,63.2,0,,12.8,11.4,77.9,1015,70.7,9,2016-01-02T06:39:46,2016-01-02T18:13:50,Partially cloudy,partly-cloudy-day
choondcherry,03-01-2016,91.3,67.9,80.2,61.6,0,,12.1,10.3,86.8,1014,32.1,9,2016-01-03T06:40:10,2016-01-03T18:14:22,Partially cloudy,partly-cloudy-day
choondcherry,04-01-2016,93.1,67.9,79.3,61.5,0,,12.1,9.2,102.4,1014,55,9,2016-01-04T06:40:33,2016-01-04T18:14:54,Partially cloudy,partly-cloudy-day
choondcherry,05-01-2016,93.1,69.7,81,60.2,0,,17,6.9,50.3,1013.6,36.4,9,2016-01-05T06:40:56,2016-01-05T18:15:26,Partially cloudy,partly-cloudy-day
choondcherry,06-01-2016,91.3,71.5,80.9,67.1,0,,15,8.2,36.7,1013.2,33.8,9,2016-01-06T06:41:17,2016-01-06T18:15:59,Partially cloudy,partly-cloudy-day
choondcherry,07-01-2016,91.5,67.9,81.2,70.7,0,,14.8,10.3,83.8,1013.6,34.4,9,2016-01-07T06:41:38,2016-01-07T18:16:31,Partially cloudy,partly-cloudy-day
choondcherry,08-01-2016,91.3,71.5,81.7,69,0,,17,9.2,57.7,1013.9,47.9,9,2016-01-08T06:41:58,2016-01-08T18:17:02,Partially cloudy,partly-cloudy-day
choondcherry,09-01-2016,93.1,73.3,81.8,66.7,0,,22.8,11.4,135.5,1012.3,60.9,8,2016-01-09T06:42:17,2016-01-09T18:17:34,Partially cloudy,partly-cloudy-day
choondcherry,10-01-2016,91.4,71.5,81.7,68.1,0,,20.6,9.2,139.1,1013.1,36.9,9,2016-01-10T06:42:35,2016-01-10T18:18:06,Partially cloudy,partly-cloudy-day
choondcherry,11-01-2016,91.3,71.5,81.4,67.3,0,,22.4,10,337.9,1013.3,37.2,8,2016-01-11T06:42:53,2016-01-11T18:18:37,Partially cloudy,partly-cloudy-day
choondcherry,12-01-2016,91.3,69.7,81.4,66.7,0,,23.9,9.2,195.2,1012.3,47.7,9,2016-01-12T06:43:10,2016-01-12T18:19:08,Partially cloudy,partly-cloudy-day
choondcherry,13-01-2016,90.3,69.7,80.3,68.8,0,,21.5,9.2,119.2,1012.2,70.9,7,2016-01-13T06:43:25,2016-01-13T18:19:39,Partially cloudy,partly-cloudy-day
choondcherry,14-01-2016,93.1,69.7,80.9,66.7,0.024,rain,21.7,11.1,251.7,1011.9,34.2,9,2016-01-14T06:43:40,2016-01-14T18:20:09,"Rain, Partially cloudy",rain
choondcherry,15-01-2016,89.9,71.5,80.2,68.6,0.008,rain,21,9.2,111.5,1011.4,33.3,9,2016-01-15T06:43:54,2016-01-15T18:20:39,"Rain, Partially cloudy",rain
choondcherry,16-01-2016,91.3,73.3,81.7,65.5,0.012,rain,18.3,11.4,322.9,1011.4,26.7,8,2016-01-16T06:44:07,2016-01-16T18:21:09,"Rain, Partially cloudy",rain
choondcherry,17-01-2016,91.3,71.5,80.8,68.7,0.004,rain,19,11.4,251.6,1011.1,52.4,9,2016-01-17T06:44:19,2016-01-17T18:21:39,"Rain, Partially cloudy",rain
choondcherry,18-01-2016,90.3,73.3,81.6,71,0.036,rain,20.1,10.4,168.3,1010.3,45.5,9,2016-01-18T06:44:30,2016-01-18T18:22:08,"Rain, Partially cloudy",rain
choondcherry,19-01-2016,91.3,71.5,81.7,74,0.008,rain,21.7,9.2,263.5,1010.1,56.4,9,2016-01-19T06:44:40,2016-01-19T18:22:36,"Rain, Partially cloudy",rain
choondcherry,20-01-2016,85.7,73.3,80.5,78.2,0.04,rain,18.8,9.3,325.5,1011.3,83.7,8,2016-01-20T06:44:49,2016-01-20T18:23:04,"Rain, Partially cloudy",rain
choondcherry,21-01-2016,93.1,71.5,82.3,72.8,0.056,rain,14.8,12.8,274.7,1011.8,57.1,7,2016-01-21T06:44:57,2016-01-21T18:23:32,"Rain, Partially cloudy",rain
choondcherry,22-01-2016,91.3,71.5,82.2,71.5,0.064,rain,12.1,10.3,239.6,1012.2,64.6,8,2016-01-22T06:45:03,2016-01-22T18:23:59,"Rain, Partially cloudy",rain
choondcherry,23-01-2016,91.3,71.5,82.2,74.1,0.004,rain,11.4,8.3,207.6,1012.5,27.2,9,2016-01-23T06:45:09,2016-01-23T18:24:25,"Rain, Partially cloudy",rain
choondcherry,24-01-2016,93.1,71.5,82.9,72.3,0,,20.4,11.4,250,1013.1,21.7,9,2016-01-24T06:45:14,2016-01-24T18:24:52,Partially cloudy,partly-cloudy-day
