name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondcherry,2013-01-01 00:00:00,36.0,22.1,28.7,70.9,0.0,,,8.1,57.3,1009.4,46.3,9,2013-01-01 06:39:40,2013-01-01 18:13:41,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-02 00:00:00,37.0,23.7,28.4,71.0,0.0,,,9.2,79.3,1011.0,31.5,9,2013-01-02 06:40:04,2013-01-02 18:14:13,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-03 00:00:00,35.1,22.6,27.9,72.1,0.0,,,9.2,266.7,1011.7,20.8,9,2013-01-03 06:40:27,2013-01-03 18:14:46,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-04 00:00:00,34.1,23.1,28.1,73.0,0.0,,,9.2,281.5,1011.1,32.9,8,2013-01-04 06:40:50,2013-01-04 18:15:18,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-05 00:00:00,36.1,22.4,28.9,72.4,0.0,,,10.3,277.4,1009.0,16.5,8,2013-01-05 06:41:12,2013-01-05 18:15:50,Clear,clear-day
choondcherry,2013-01-06 00:00:00,36.1,22.8,28.3,71.6,0.0,,,10.3,282.4,1009.2,30.7,9,2013-01-06 06:41:33,2013-01-06 18:16:22,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-07 00:00:00,35.0,23.2,28.8,71.4,0.0,,,10.3,277.8,1009.8,52.2,8,2013-01-07 06:41:53,2013-01-07 18:16:54,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-08 00:00:00,31.0,23.7,27.3,77.8,0.116,rain,,10.3,267.2,1011.5,85.2,6,2013-01-08 06:42:12,2013-01-08 18:17:26,"Rain, Partially cloudy",rain
choondcherry,2013-01-09 00:00:00,36.0,24.1,28.9,73.6,0.004,rain,,5.8,292.0,1010.5,63.4,4,2013-01-09 06:42:31,2013-01-09 18:17:57,"Rain, Partially cloudy",rain
choondcherry,2013-01-10 00:00:00,37.0,23.6,28.3,67.7,0.0,,,7.2,43.9,1010.5,19.6,7,2013-01-10 06:42:49,2013-01-10 18:18:29,Clear,clear-day
choondcherry,2013-01-11 00:00:00,35.0,21.8,27.7,68.1,0.0,,,9.2,75.3,1010.6,15.4,8,2013-01-11 06:43:05,2013-01-11 18:19:00,Clear,clear-day
choondcherry,2013-01-12 00:00:00,35.1,22.0,27.4,65.4,0.0,,,9.2,34.3,1012.1,19.6,9,2013-01-12 06:43:21,2013-01-12 18:19:31,Clear,clear-day
choondcherry,2013-01-13 00:00:00,36.1,20.9,27.4,66.1,0.0,,,6.9,88.1,1010.6,9.6,9,2013-01-13 06:43:36,2013-01-13 18:20:01,Clear,clear-day
choondcherry,2013-01-14 00:00:00,35.0,21.0,26.8,63.6,0.0,,,6.3,71.4,1010.8,24.7,7,2013-01-14 06:43:50,2013-01-14 18:20:32,Partially cloudy,partly-cloudy-day
choondcherry,2013-01-15 00:00:00,35.0,19.0,26.1,67.4,0.0,,,9.2,340.9,1010.9,12.2,9,2013-01-15 06:44:04,2013-01-15 18:21:01,Clear,clear-day
choondcherry,2013-01-16 00:00:00,33.1,18.6,25.7,63.8,0.0,,,9.8,59.9,1011.8,8.2,9,2013-01-16 06:44:16,2013-01-16 18:21:31,Clear,clear-day
choondcherry,2013-01-17 00:00:00,35.0,19.9,26.1,61.5,0.0,,,6.9,87.3,1012.5,2.8,10,2013-01-17 06:44:27,2013-01-17 18:22:00,Clear,clear-day
choondcherry,2013-01-18 00:00:00,34.0,20.0,26.3,65.2,0.0,,,9.2,266.6,1012.5,8.8,9,2013-01-18 06:44:37,2013-01-18 18:22:29,Clear,clear-day
choondcherry,2013-01-19 00:00:00,34.1,22.0,26.8,67.8,0.0,,,13.9,285.0,1012.2,19.1,9,2013-01-19 06:44:47,2013-01-19 18:22:57,Clear,clear-day
choondcherry,2013-01-20 00:00:00,35.0,22.0,27.2,68.0,0.0,,,9.2,139.2,1012.0,14.1,9,2013-01-20 06:44:55,2013-01-20 18:23:25,Clear,clear-day
choondcherry,2013-01-21 00:00:00,36.1,21.2,27.7,67.4,0.0,,,10.3,299.0,1012.4,10.7,9,2013-01-21 06:45:02,2013-01-21 18:23:52,Clear,clear-day
choondcherry,2013-01-22 00:00:00,36.9,20.7,27.8,63.9,0.0,,,11.4,54.5,1012.4,14.3,9,2013-01-22 06:45:08,2013-01-22 18:24:19,Clear,clear-day
choondcherry,2013-01-23 00:00:00,36.1,21.0,27.5,61.1,0.0,,,9.2,50.1,1012.5,8.2,9,2013-01-23 06:45:13,2013-01-23 18:24:45,Clear,clear-day
choondcherry,2013-01-24 00:00:00,35.0,20.1,27.1,59.7,0.0,,,13.9,342.4,1011.7,14.0,9,2013-01-24 06:45:18,2013-01-24 18:25:10,Clear,clear-day
choondcherry,2013-01-25 00:00:00,36.1,21.2,27.4,64.5,0.0,,,9.2,266.7,1011.8,11.2,9,2013-01-25 06:45:21,2013-01-25 18:25:36,Clear,clear-day
choondcherry,2013-01-26 00:00:00,37.1,21.2,27.8,59.4,0.0,,,9.2,100.6,1012.0,13.2,9,2013-01-26 06:45:23,2013-01-26 18:26:00,Clear,clear-day
choondcherry,2013-01-27 00:00:00,35.1,20.0,26.7,60.1,0.0,,,9.2,86.3,1012.2,4.1,10,2013-01-27 06:45:24,2013-01-27 18:26:24,Clear,clear-day
choondcherry,2013-01-28 00:00:00,35.1,21.0,26.9,60.6,0.0,,,9.6,341.8,1012.0,5.1,9,2013-01-28 06:45:24,2013-01-28 18:26:47,Clear,clear-day
choondcherry,2013-01-29 00:00:00,35.0,22.0,27.3,64.6,0.0,,,10.3,266.3,1011.8,17.4,9,2013-01-29 06:45:23,2013-01-29 18:27:10,Clear,clear-day
choondcherry,2013-01-30 00:00:00,36.0,22.0,27.6,68.3,0.0,,,9.2,260.3,1011.7,7.9,9,2013-01-30 06:45:21,2013-01-30 18:27:32,Clear,clear-day
choondcherry,2013-01-31 00:00:00,35.0,21.1,27.6,63.5,0.0,,,10.1,35.0,1011.5,7.8,10,2013-01-31 06:45:18,2013-01-31 18:27:54,Clear,clear-day
choondcherry,2013-02-01 00:00:00,35.1,20.7,27.1,61.4,0.0,,,10.5,89.5,1011.3,6.0,10,2013-02-01 06:45:14,2013-02-01 18:28:15,Clear,clear-day
